unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr,womengradrate4yr,gradrate4yr,mengradrate4yr
182634,2007,353,240,113,169,44,125,52.08,0.521,0.479,0.389
182795,2007,533,239,294,207,100,107,44.77,0.448,0.388,0.34
183062,2007,1295,762,533,666,252,414,54.33,0.543,0.514,0.473
183080,2007,1006,444,562,414,206,208,46.85,0.469,0.412,0.367
183239,2007,568,300,268,404,169,235,78.33,0.783,0.711,0.631
183822,2007,313,176,137,45,24,21,11.93,0.119,0.144,0.175
183974,2007,275,175,100,154,54,100,57.14,0.571,0.56,0.54
184348,2007,452,268,184,293,107,186,69.4,0.694,0.648,0.582
184603,2007,400,210,190,117,30,87,41.43,0.414,0.292,0.158
184612,2007,294,213,81,72,18,54,25.35,0.254,0.245,0.222
184782,2007,1226,506,720,561,301,260,51.38,0.514,0.458,0.418
185129,2007,649,340,309,32,16,16,4.71,0.047,0.049,0.052
185572,2007,944,538,406,393,165,228,42.38,0.424,0.416,0.406
185590,2007,2068,1276,792,711,205,506,39.66,0.397,0.344,0.259
185828,2007,730,148,582,171,117,54,36.49,0.365,0.234,0.201
186131,2007,1243,593,650,1091,553,538,90.73,0.907,0.878,0.851
186201,2007,898,519,379,527,181,346,66.67,0.667,0.587,0.478
186283,2007,990,569,421,547,201,346,60.81,0.608,0.553,0.477
186584,2007,1256,664,592,631,277,354,53.31,0.533,0.502,0.468
186876,2007,794,480,314,335,93,242,50.42,0.504,0.422,0.296
187134,2007,1297,774,523,940,334,606,78.29,0.783,0.725,0.639
187444,2007,1299,642,657,211,89,122,19,0.19,0.162,0.135
187985,2007,2850,1637,1213,415,147,268,16.37,0.164,0.146,0.121
188030,2007,2105,1123,982,329,94,235,20.93,0.209,0.156,0.096
188429,2007,883,603,280,464,134,330,54.73,0.547,0.525,0.479
188641,2007,518,239,279,231,107,124,51.88,0.519,0.446,0.384
190044,2007,682,189,493,418,289,129,68.25,0.682,0.613,0.586
190099,2007,744,382,362,644,297,347,90.84,0.908,0.866,0.82
190150,2007,1371,671,700,1173,586,587,87.48,0.875,0.856,0.837
190248,2007,127,76,51,35,9,26,34.21,0.342,0.276,0.176
190415,2007,3005,1454,1551,2601,1285,1316,90.51,0.905,0.866,0.828
